p,a,fx,mean_total_J
1e-1,1e-1,1e-10,233.13853231801312
1e-1,1e-10,1e-10,256.7425831694467
1e-1,1e-2,1e-10,255.6834976280303
1e-1,1e-3,1e-10,182.97258373884873
1e-1,1e-4,1e-10,221.52677760004747
1e-1,1e-5,1e-10,266.9466713374966
1e-1,1e-6,1e-10,235.49572104637969
1e-1,1e-7,1e-10,163.85620577138863
1e-1,1e-8,1e-10,191.09403488753983
1e-1,1e-9,1e-10,273.61775295664916
1e-10,1e-1,1e-10,341.2869739835436
1e-10,1e-10,1e-10,315.28663148061037
1e-10,1e-2,1e-10,355.47025223031255
1e-10,1e-3,1e-10,314.4465725184567
1e-10,1e-4,1e-10,320.7182937966543
1e-10,1e-5,1e-10,346.6185225797649
1e-10,1e-6,1e-10,339.67867367700086
1e-10,1e-7,1e-10,319.29409032265283
1e-10,1e-8,1e-10,361.92965489488233
1e-10,1e-9,1e-10,335.59020430101793
1e-2,1e-1,1e-10,340.22032168632796
1e-2,1e-10,1e-10,317.31307801801336
1e-2,1e-2,1e-10,338.11429048665747
1e-2,1e-3,1e-10,330.5321989617873
1e-2,1e-4,1e-10,303.17869367256037
1e-2,1e-5,1e-10,308.1627123267607
1e-2,1e-6,1e-10,325.0491522780862
1e-2,1e-7,1e-10,303.61760027767264
1e-2,1e-8,1e-10,323.343663146337
1e-2,1e-9,1e-10,337.99443816033994
1e-3,1e-1,1e-10,336.7187496395359
1e-3,1e-10,1e-10,349.42932208796213
1e-3,1e-2,1e-10,326.5724886554344
1e-3,1e-3,1e-10,332.47217075323465
1e-3,1e-4,1e-10,353.2738239798781
1e-3,1e-5,1e-10,307.57419728228217
1e-3,1e-6,1e-10,335.79704203424274
1e-3,1e-7,1e-10,328.13367511635204
1e-3,1e-8,1e-10,317.71994943433396
1e-3,1e-9,1e-10,337.3277556680558
1e-4,1e-1,1e-10,406.0256094942579
1e-4,1e-10,1e-10,310.73302153984173
1e-4,1e-2,1e-10,346.9576432846218
1e-4,1e-3,1e-10,346.27362355040617
1e-4,1e-4,1e-10,359.33588123274717
1e-4,1e-5,1e-10,319.7285602890359
1e-4,1e-6,1e-10,330.1030680514123
1e-4,1e-7,1e-10,361.5153831347659
1e-4,1e-8,1e-10,328.9060682532636
1e-4,1e-9,1e-10,342.11829046572984
1e-5,1e-1,1e-10,357.4791788281549
1e-5,1e-10,1e-10,335.03014452060506
1e-5,1e-2,1e-10,350.9587284071662
1e-5,1e-3,1e-10,333.9537608844511
1e-5,1e-4,1e-10,318.85650654691403
1e-5,1e-5,1e-10,321.6232870510792
1e-5,1e-6,1e-10,364.4060755299757
1e-5,1e-7,1e-10,319.59496027233877
1e-5,1e-8,1e-10,329.1109746518439
1e-5,1e-9,1e-10,339.45104273946123
1e-6,1e-1,1e-10,345.1095138462322
1e-6,1e-10,1e-10,337.64195071560016
1e-6,1e-2,1e-10,316.5041373780871
1e-6,1e-3,1e-10,313.2516898733504
1e-6,1e-4,1e-10,300.8419304511121
1e-6,1e-5,1e-10,307.25319714271086
1e-6,1e-6,1e-10,317.8811713275214
1e-6,1e-7,1e-10,369.66366730051914
1e-6,1e-8,1e-10,320.7700409347667
1e-6,1e-9,1e-10,311.4750010356249
1e-7,1e-1,1e-10,338.33849467882555
1e-7,1e-10,1e-10,363.6777561156535
1e-7,1e-2,1e-10,313.51630507284403
1e-7,1e-3,1e-10,346.5764547022402
1e-7,1e-4,1e-10,347.6491531149603
1e-7,1e-5,1e-10,325.2612376020917
1e-7,1e-6,1e-10,299.205096896073
1e-7,1e-7,1e-10,341.83835496743114
1e-7,1e-8,1e-10,338.29381949451187
1e-7,1e-9,1e-10,355.5537083787786
1e-8,1e-1,1e-10,364.7666479359627
1e-8,1e-10,1e-10,308.3867775595008
1e-8,1e-2,1e-10,311.6130889501916
1e-8,1e-3,1e-10,336.174336231634
1e-8,1e-4,1e-10,359.42321850741575
1e-8,1e-5,1e-10,301.9005435994245
1e-8,1e-6,1e-10,308.6677933841564
1e-8,1e-7,1e-10,345.6842859933831
1e-8,1e-8,1e-10,308.07769463355896
1e-8,1e-9,1e-10,360.20049676026156
